friend_date,status,friend_request_count,send_user_count,receive_user_count
2024-01-29,R,1,1,1
2024-01-30,A,4,3,4
2024-01-30,P,183,11,173
2024-01-30,R,14,2,14
2024-01-31,A,9,5,9
2024-01-31,P,120,9,120
2024-02-01,P,87,18,81
2024-02-01,A,1,1,1
2024-02-02,A,3,3,3
2024-02-02,P,89,13,89
2024-02-02,R,2,1,2
2024-02-03,A,1,1,1
2024-02-03,P,121,11,121
2024-02-03,R,3,2,3
2024-02-04,P,57,7,56
2024-02-05,P,89,8,89
2024-02-05,R,9,1,9
2024-02-06,A,2,2,2
2024-02-06,P,116,13,115
2024-02-07,P,91,9,91
2024-02-07,R,37,1,37
2024-02-08,P,64,8,64
2024-02-08,R,1,1,1
2024-02-08,A,2,2,2
2024-02-09,R,1,1,1
2024-02-09,A,2,1,2
2024-02-09,P,116,6,116
2024-02-10,P,55,6,55
2024-02-11,P,36,10,36
2024-02-11,R,2,2,2
2024-02-12,A,1,1,1
2024-02-12,P,47,7,47
2024-02-13,P,31,7,31
2024-02-14,A,3,3,3
2024-02-14,P,108,10,108
2024-02-14,R,1,1,1
2024-02-15,P,17,5,17
2024-02-15,R,1,1,1
2024-02-16,A,2,2,2
2024-02-16,P,41,8,41
2024-02-17,R,6,3,6
2024-02-17,P,126,7,126
2024-02-18,A,2,2,2
2024-02-18,P,45,5,45
